station,lat,lon,hp,country,fog,visibility,datetime
ILOVLYA,4930,4400,44.37,Russian Federation,47,200 m,2025112300
48810,2215,10583,,,45,500 m,2025112300
OZINKI,5120,4973,103.91,Russian Federation,45,500 m,2025112300
DIPAYAL,2925,8093,617,Nepal,47,200 m,2025112300
LAMPANG,1826,9950,243.83,Thailand,47,500 m,2025112300
PUGACEV,5203,4883,37.63,Russian Federation,45,500 m,2025112300
THONG PHA PHUM,1473,9863,99.28,Thailand,45,400 m,2025112300
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112300
UMPHANG,1601,9885,460,Thailand,44,900 m,2025112300
KRASNYJ KUT,5095,4696,50.41,Russian Federation,45,500 m,2025112300
DOUBLE ISLAND POINT LIGHTHOUSE,-2591,15318,95.7,Australia,41,,2025112300
CELNO-VERSINY,5441,5110,157.71,Russian Federation,45,500 m,2025112300
YASHKUL',4618,4535,-6.71,Russian Federation,47,200 m,2025112300
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112300
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112300
LIMAN,4580,4721,-18,Russian Federation,43,500 m,2025112300
TIMIRYAZEVSKIJ,4388,13196,36.2,Russian Federation,47,500 m,2025112300
ALEKSANDROV-GAJ,5015,4855,24.72,Russian Federation,45,500 m,2025112300
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112300
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,46,200 m,2025112300
ZHANGWU,4242,12253,84,China,B46,100 m,2025112300
VOLGOGRAD,4878,4436,134,Russian Federation,45,100 m,2025112300
TURKMENABAT,3908,6360,190,Turkmenistan,11,4000 m,2025112300
BIRATNAGAR AIRPORT,2648,8726,72,Nepal,46,800 m,2025112300
GAOPING,3075,10613,347,China,B46,500 m,2025112300
KAMYSIN,5008,4536,118.66,Russian Federation,45,200 m,2025112300
BUGUL'MA,5461,5280,303.93,Russian Federation,45,500 m,2025112300
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,200 m,2025112300
ESENGULY,3746,5396,-22,Turkmenistan,44,500 m,2025112300
JESSORE,2318,8916,7,Bangladesh,46,400 m,2025112300
UTTA,4636,4601,-7.05,Russian Federation,45,200 m,2025112300
VARANASI/BABATPUR,2543,8285,89,India,12,500 m,2025112300
SAYABOURY,1923,10173,292,Lao People's Democratic Republic,45,200 m,2025112300
ARHARA,4941,13008,134.64,Russian Federation,44,500 m,2025112300
VELIZH,5561,3118,166.1,Russian Federation,44,500 m,2025112300
CAPE FLATTERY,-1496,14530,19.3,Australia,41,,2025112300
MIDDLE POINT AWS,-1260,13128,15.4,Australia,41,,2025112300
BAREILLY,2836,7940,169,India,44,500 m,2025112300
BATCHELOR AERO,-1305,13101,105,Australia,41,,2025112300
GROZNYJ,4325,4571,257.57,Russian Federation,45,500 m,2025112300
OUDOMXAY,2068,10200,636,Lao People's Democratic Republic,45,800 m,2025112300
EL'TON,4913,4685,5.78,Russian Federation,45,500 m,2025112300
CEAHLAU TOACA,4696,2595,1898.3,Romania,45,50 m,2025112300
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112300
KALEWA,2320,9430,109,Myanmar,40,1000 m,2025112300
SYR-DAR'JA,4081,6868,263,Uzbekistan,47,50 m,2025112300
POZNAN,5241,1683,88,Poland,47,200 m,2025112300
ERSHOV,5136,4830,110.99,Russian Federation,45,300 m,2025112300
WROCLAW II,5110,1690,120.96,Poland,48,800 m,2025112300
CAO BANG,2266,10625,243,Viet Nam,45,200 m,2025112300
LOIKAW,1968,9721,0,Myanmar,40,1000 m,2025112300
"ANCHORAGE/INT., AK",6115,21002,43.8,United States of America,41,200 m,2025112300
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,200 m,2025112300
MVENGUE,-165,1343,0,Gabon,42,700 m,2025112300
GUDERMES,4335,4611,75,Russian Federation,45,500 m,2025112300
KIROVOHRAD,4853,3228,171,Ukraine,45,900 m,2025112300
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,200 m,2025112300
EFREMOV,5315,3811,214.7,Russian Federation,45,500 m,2025112300
MINERAL'NYE VODY,4423,4306,328.29,Russian Federation,45,500 m,2025112300
KOMSOMOL' SKIJ,4535,4603,-1.66,Russian Federation,45,500 m,2025112300
AMRITSAR,3163,7486,234,India,12,500 m,2025112300
LUANG-PRABANG,1988,10213,305,Lao People's Democratic Republic,40,1000 m,2025112300
BHUBANESHWAR,2025,8583,49.4,India,42,500 m,2025112300
ELISTA,4630,4418,197.2,Russian Federation,47,500 m,2025112300
BUGURUSLAN,5361,5245,92.36,Russian Federation,45,500 m,2025112300
REMONTNOE,4656,4366,106.29,Russian Federation,45,500 m,2025112300
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112221
CEAHLAU TOACA,4696,2595,1898.3,Romania,47,50 m,2025112221
EL'TON,4913,4685,5.78,Russian Federation,45,500 m,2025112221
NIKEL',6940,3020,92.1,Russian Federation,11,20 km,2025112221
GROZNYJ,4325,4571,257.57,Russian Federation,44,500 m,2025112221
ERSHOV,5136,4830,110.99,Russian Federation,45,500 m,2025112221
SYR-DAR'JA,4081,6868,263,Uzbekistan,47,200 m,2025112221
POZNAN,5241,1683,88,Poland,46,500 m,2025112221
VARANASI/BABATPUR,2543,8285,89,India,12,200 m,2025112221
GAOPING,3075,10613,347,China,B46,600 m,2025112221
VOLGOGRAD,4878,4436,134,Russian Federation,45,100 m,2025112221
PACHELMA,5333,4331,261.03,Russian Federation,45,500 m,2025112221
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112221
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,47,200 m,2025112221
ESENGULY,3746,5396,-22,Turkmenistan,44,500 m,2025112221
KAMYSIN,5008,4536,118.66,Russian Federation,45,200 m,2025112221
ZHANGWU,4242,12253,84,China,B45,100 m,2025112221
LAGAN',4540,4735,-24.61,Russian Federation,43,200 m,2025112221
35605,4768,5158,,,45,500 m,2025112221
ALEKSANDROV-GAJ,5015,4855,24.72,Russian Federation,45,500 m,2025112221
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112221
REMONTNOE,4656,4366,106.29,Russian Federation,47,500 m,2025112221
BUGURUSLAN,5361,5245,92.36,Russian Federation,45,500 m,2025112221
KOMSOMOL' SKIJ,4535,4603,-1.66,Russian Federation,45,500 m,2025112221
MCENSK,5338,3653,201.29,Russian Federation,44,500 m,2025112221
36786,4541,7991,,,45,200 m,2025112221
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,50 m,2025112221
KIROVOHRAD,4853,3228,171,Ukraine,46,300 m,2025112221
WROCLAW II,5110,1690,120.96,Poland,46,100 m,2025112221
GUDERMES,4335,4611,75,Russian Federation,45,500 m,2025112221
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,200 m,2025112221
NETROKONA SADAR,2488,9071,13,Bangladesh,42,800 m,2025112221
ROSIORII DE VEDE,4410,2496,103.4,Romania,46,400 m,2025112221
SLUTSK,5305,2755,162,Belarus,45,200 m,2025112221
GAYA (42591-0),2475,8495,116,India,42,500 m,2025112221
AKTION (AIRPORT),3891,2076,3.94,Greece,41,,2025112221
AKSAKOVO,5401,5413,355.58,Russian Federation,47,200 m,2025112221
LUXI,2453,10377,1708,China,B46,400 m,2025112221
ODESA,4643,3076,42,Ukraine,47,700 m,2025112221
NOONAMAH AIRSTRIP,-1260,13103,18.9,Australia,41,,2025112221
JIANGCHENG,2260,10185,1121,China,B46,300 m,2025112221
DOUGLAS RIVER,-1383,13118,44.2,Australia,41,,2025112221
ZIELONA GORA,5191,1551,192.45,Poland,49,100 m,2025112221
ANDIZAN,4073,7231,475,Uzbekistan,44,500 m,2025112221
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025112221
BOKOVSKAJA,4921,4183,91.12,Russian Federation,47,500 m,2025112221
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,200 m,2025112221
CORNESTI,4735,2800,232,Republic of Moldova,43,500 m,2025112221
KRASNYJ KUT,5095,4696,50.41,Russian Federation,45,500 m,2025112221
LIMAN,4580,4721,-18,Russian Federation,47,200 m,2025112221
TALKEETNA,6230,20990,109,Alaska,41,800 m,2025112221
LODZ,5171,1938,190.34,Poland,11,8 km,2025112221
PUGACEV,5203,4883,37.63,Russian Federation,47,500 m,2025112221
TANAH MERAH,-610,14030,16,Indonesia,42,200 m,2025112221
OZINKI,5120,4973,103.91,Russian Federation,45,500 m,2025112221
BELINSKIJ,5296,4340,205.66,Russian Federation,45,200 m,2025112221
DHUBRI,2601,8998,35.1,India,11,2000 m,2025112221
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,100 m,2025112221
ILOVLYA,4930,4400,44.37,Russian Federation,45,500 m,2025112221
KOCHUBEJ,4440,4655,-21.37,Russian Federation,45,200 m,2025112221
KARABULAK,5233,4636,301.72,Russian Federation,47,200 m,2025112221
MARIYNA GORKA,5348,2813,177.15,Belarus,44,200 m,2025112221
AKSAKOVO,5401,5413,355.58,Russian Federation,47,200 m,2025112218
GAYA (42591-0),2475,8495,116,India,12,1000 m,2025112218
YUSTA,4713,4631,2.6,Russian Federation,45,500 m,2025112218
DOUGLAS RIVER,-1383,13118,44.2,Australia,41,,2025112218
JIANGCHENG,2260,10185,1121,China,B45,100 m,2025112218
POINT FAWCETT,-1175,13001,7.5,Australia,41,,2025112218
16779,3766,2633,,,41,,2025112218
VARFU OMU,4543,2545,2511.4,Romania,45,below 50 m,2025112218
KRASNYJ KUT,5095,4696,50.41,Russian Federation,45,500 m,2025112218
SARANSK,5413,4525,200.56,Russian Federation,45,500 m,2025112218
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112218
OLONEC,6098,3298,12,Russian Federation,46,900 m,2025112218
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025112218
KOPAONIK,4328,2080,1713,Serbia,45,400 m,2025112218
ILOVLYA,4930,4400,44.37,Russian Federation,47,500 m,2025112218
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112218
ORUMIEH,3765,4505,1328,"Iran, Islamic Republic of",44,900 m,2025112218
STOCKTON/METROPOLITAN CA.,3790,23875,8,United States of America,41,400 m,2025112218
TRIPOLIS (AIRPORT),3751,2238,651.3,Greece,41,,2025112218
LOVETCH,4315,2470,221,Bulgaria,45,300 m,2025112218
16768,3716,2680,,,41,,2025112218
POZNAN,5241,1683,88,Poland,46,900 m,2025112218
LIPETSK,5270,3951,177.2,Russian Federation,47,300 m,2025112218
ERSHOV,5136,4830,110.99,Russian Federation,47,400 m,2025112218
GROZNYJ,4325,4571,257.57,Russian Federation,47,500 m,2025112218
NIKEL',6940,3020,92.1,Russian Federation,12,20 km,2025112218
EL'TON,4913,4685,5.78,Russian Federation,45,500 m,2025112218
CERNYJ JAR,4806,4611,5.36,Russian Federation,47,500 m,2025112218
MAE HONG SON,1928,9796,274.2,Thailand,47,800 m,2025112218
SIBIU,4578,2403,444.3,Romania,47,200 m,2025112218
KAMYSIN,5008,4536,118.66,Russian Federation,45,200 m,2025112218
ESENGULY,3746,5396,-22,Turkmenistan,44,500 m,2025112218
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,500 m,2025112218
PACHELMA,5333,4331,261.03,Russian Federation,45,500 m,2025112218
VOLGOGRAD,4878,4436,134,Russian Federation,45,100 m,2025112218
"SPOKANE/INT., WA.",4763,24247,721,United States of America,11,16 km,2025112218
GAOPING,3075,10613,347,China,B46,600 m,2025112218
L'VIV,4980,2395,323,Ukraine,47,900 m,2025112218
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112218
ALEKSANDROV-GAJ,5015,4855,24.72,Russian Federation,46,500 m,2025112218
LAGAN',4540,4735,-24.61,Russian Federation,45,50 m,2025112218
ZHANGWU,4242,12253,84,China,B45,100 m,2025112218
"MEDFORD/MEDFORD-JACKSON COUNTY, OR.",4236,23714,398.9,United States of America,41,below 100 m,2025112218
PARS ABAD MOGHAN,3960,4786,32,"Iran, Islamic Republic of",44,800 m,2025112218
EFREMOV,5315,3811,214.7,Russian Federation,45,500 m,2025112218
BUDENNOVSK,4478,4413,135.87,Russian Federation,47,200 m,2025112218
"ANCHORAGE/INT., AK",6115,21002,43.8,United States of America,41,400 m,2025112218
ROSIORII DE VEDE,4410,2496,103.4,Romania,42,200 m,2025112218
GEORGIEVSK,4413,4345,287.88,Russian Federation,47,500 m,2025112218
DANDONG,4005,12433,14,China,B46,600 m,2025112218
GUDERMES,4335,4611,75,Russian Federation,47,500 m,2025112218
KUKES,4203,2041,354,Albania,11,50 km,2025112218
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112215
KIRSANOV,5266,4271,168.88,Russian Federation,45,500 m,2025112215
J6-A,5381,293,34.3,Netherlands,41,4900 m,2025112215
MORSANSK,5345,4180,142,Russian Federation,45,500 m,2025112215
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025112215
"AMARILLO/INTL., TX.",3521,25830,1095,United States of America,41,below 100 m,2025112215
STOCKTON/METROPOLITAN CA.,3790,23875,8,United States of America,41,800 m,2025112215
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112215
CHOPOK,4893,1958,2007,Slovakia,49,below 100 m,2025112215
YUSTA,4713,4631,2.6,Russian Federation,47,500 m,2025112215
JIANGCHENG,2260,10185,1121,China,46,100 m,2025112215
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025112215
"PUEBLO/MEMORIAL, CO.",3828,25550,1439,United States of America,41,400 m,2025112215
VARFU OMU,4543,2545,2511.4,Romania,45,below 50 m,2025112215
"PORT ARTHUR/JEFFERSON CO., TX.",2995,26599,7,United States of America,41,400 m,2025112215
LOMNICKY STIT,4918,2020,2635,Slovakia,40,1100 m,2025112215
"MEDFORD/MEDFORD-JACKSON COUNTY, OR.",4236,23714,398.9,United States of America,41,400 m,2025112215
KASTORIA (AIRPORT),4043,2126,658.68,Greece,41,,2025112215
EL'TON,4913,4685,5.78,Russian Federation,47,500 m,2025112215
ZLATIBOR,4373,1971,1029,Serbia,45,100 m,2025112215
BATCHELOR AERO,-1305,13101,105,Australia,41,,2025112215
VOLGOGRAD,4878,4436,134,Russian Federation,45,100 m,2025112215
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,500 m,2025112215
PACHELMA,5333,4331,261.03,Russian Federation,45,500 m,2025112215
MALYE DERBETY,4793,4470,9.27,Russian Federation,47,200 m,2025112215
LAGAN',4540,4735,-24.61,Russian Federation,46,200 m,2025112215
IBAGUE/PERALES,443,28485,928,Colombia,46,500 m,2025112212
MAGNITOGORSK,5335,5908,384.4,Russian Federation,44,500 m,2025112212
LOMNICKY STIT,4918,2020,2635,Slovakia,48,200 m,2025112212
BEOGRAD,4480,2046,132,Serbia,47,200 m,2025112212
"FREEPORT, GRAND BAHAMA",2655,28130,11,Bahamas,11,19 km,2025112212
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,43,500 m,2025112212
"PORT ARTHUR/JEFFERSON CO., TX.",2995,26599,7,United States of America,41,400 m,2025112212
CHACHAPOYAS,-620,28215,2540,Peru,41,8 km,2025112212
"HAVRE ST. PIERRE, QUE",5026,29640,0,Canada,41,4800 m,2025112212
"ST.JOHN'S A, NFLD",4761,30727,140.5,Canada,47,600 m,2025112212
PACHELMA,5333,4331,261.03,Russian Federation,45,500 m,2025112212
AUSTIN PLAINS,-3536,14053,110.8,Australia,41,,2025112212
PEREIRA/MATECANA,481,28427,1342,Colombia,11,10 km,2025112212
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,500 m,2025112212
BUGUL'MA,5461,5280,303.93,Russian Federation,45,500 m,2025112212
GORZOW WLKP,5273,1526,72.55,Poland,48,300 m,2025112212
SARYG-SEP,5146,9556,705.8,Russian Federation,41,10 km,2025112212
VOLGOGRAD,4878,4436,134,Russian Federation,47,100 m,2025112212
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112212
CHOPOK,4893,1958,2007,Slovakia,49,200 m,2025112212
"TALLAHASSEE/MUN.,  FL.",3043,27572,52.8,United States of America,41,400 m,2025112212
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112212
"AMARILLO/INTL., TX.",3521,25830,1095,United States of America,41,400 m,2025112212
CONOOR,1135,7680,1747,India,45,500 m,2025112212
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112212
KOTLAS,6123,4668,55.9,Russian Federation,11,4000 m,2025112212
CELNO-VERSINY,5441,5110,157.71,Russian Federation,45,500 m,2025112212
POINT FAWCETT,-1175,13001,7.5,Australia,41,,2025112212
VARFU OMU,4543,2545,2511.4,Romania,45,below 50 m,2025112212
"PORTLAND/INT., OR.",4560,23740,12,United States of America,41,400 m,2025112212
CRNI VRH,4411,2195,1039,Serbia,47,100 m,2025112212
"NEW ORLEANS/MOISANT INT., LA.",2998,26975,9,United States of America,41,400 m,2025112212
"SPRINGFIELD/MUN., MO.",3723,26660,390.1,United States of America,41,800 m,2025112212
"TUPELO/C.D. LEMONS MUN, MS",3426,27124,0,United States of America,41,400 m,2025112212
CHOPOK,4893,1958,2007,Slovakia,49,200 m,2025112209
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112209
IZANA,2830,-31184,2368,Spain,47,below 100 m,2025112209
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025112209
OZINKI,5120,4973,103.91,Russian Federation,45,500 m,2025112209
PIRLANGIMPI,-1140,13041,19.3,Australia,41,,2025112209
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112209
CELNO-VERSINY,5441,5110,157.71,Russian Federation,45,500 m,2025112209
OENPELLI AIRPORT,-1231,13300,8.9,Australia,41,,2025112209
RYAZHSK,5371,4011,127.1,Russian Federation,45,200 m,2025112209
POINT FAWCETT,-1175,13001,7.5,Australia,41,,2025112209
LEOVA,4646,2825,156,Republic of Moldova,45,500 m,2025112209
35107,5110,5028,,,45,500 m,2025112209
NIZHNIJ NOVGOROD,5626,4400,157.3,Russian Federation,45,300 m,2025112209
PALMER STATION,-6476,29592,8,Stations operated by America,41,9 km,2025112209
YUSTA,4713,4631,2.6,Russian Federation,45,500 m,2025112209
AKSAKOVO,5401,5413,355.58,Russian Federation,45,200 m,2025112209
PERELJUB,5186,5033,71.24,Russian Federation,45,500 m,2025112209
CAHUL,4590,2818,113,Republic of Moldova,45,200 m,2025112209
LUBNY,5000,3298,158,Ukraine,45,200 m,2025112209
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,200 m,2025112209
LOMNICKY STIT,4918,2020,2635,Slovakia,49,100 m,2025112209
MYRONIVKA,4963,3106,153,Ukraine,47,500 m,2025112209
UMAN',4876,3021,216,Ukraine,45,500 m,2025112209
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,500 m,2025112209
