station,lat,lon,hp,country,fog,visibility,datetime
SHARDARA,4123,6796,275,Kazakhstan,45,200 m,2025112306
CHAPAEVO,5020,5116,17,Kazakhstan,47,200 m,2025112306
ERSHOV,5136,4830,110.99,Russian Federation,45,500 m,2025112306
LEOVA,4646,2825,156,Republic of Moldova,47,500 m,2025112306
LIUBASHIVKA,4785,3026,183,Ukraine,45,200 m,2025112306
CHERNIVTSI,4825,2596,246,Ukraine,47,200 m,2025112306
SYR-DAR'JA,4081,6868,263,Uzbekistan,45,50 m,2025112306
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112306
ARAUCANIA,-3893,28735,0,Chile,47,500 m,2025112306
POCHINOK,5441,3243,201.2,Russian Federation,47,500 m,2025112306
BUDENNOVSK,4478,4413,135.87,Russian Federation,44,200 m,2025112306
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,200 m,2025112306
SENNO,5480,2968,175.5,Belarus,43,600 m,2025112306
KOMRAT,4628,2863,133,Republic of Moldova,47,500 m,2025112306
EL'TON,4913,4685,5.78,Russian Federation,45,500 m,2025112306
NIKEL',6940,3020,92.1,Russian Federation,11,20 km,2025112306
BOGUCAR,4993,4056,83.57,Russian Federation,47,200 m,2025112306
35777,4683,6833,,,45,500 m,2025112306
YUSTA,4713,4631,2.6,Russian Federation,43,500 m,2025112306
POLTAVA,4960,3453,160,Ukraine,45,200 m,2025112306
PERELJUB,5186,5033,71.24,Russian Federation,45,500 m,2025112306
CRNI VRH,4411,2195,1039,Serbia,49,100 m,2025112306
SOROCHINSK,5243,5313,122.95,Russian Federation,45,500 m,2025112306
RAZGRAD,4356,2650,347,Bulgaria,45,100 m,2025112306
KRYVYI RIH,4805,3320,124,Ukraine,45,300 m,2025112306
PORT KEATS AIRPORT,-1423,12951,29,Australia,41,,2025112306
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112306
EJSK,4680,3826,2.53,Russian Federation,44,200 m,2025112306
SOKODE,898,115,387,Togo,46,200 m,2025112306
GUDERMES,4335,4611,75,Russian Federation,45,500 m,2025112306
16779,3766,2633,,,41,,2025112306
MARSABIT,233,3798,0,Kenya,42,300 m,2025112306
TAIPAK,4905,5186,2,Kazakhstan,45,200 m,2025112306
KAZANSKAJA,4980,4115,71.51,Russian Federation,45,500 m,2025112306
AKIM ODA,593,-29634,0,Ghana,46,200 m,2025112306
ODESA,4643,3076,42,Ukraine,45,100 m,2025112306
AKSAKOVO,5401,5413,355.58,Russian Federation,45,500 m,2025112306
SVITLOVODS'K,4906,3323,84,Ukraine,45,200 m,2025112306
ZHALPAKTAL,4966,4948,10,Kazakhstan,45,200 m,2025112306
MALINOVKA,4978,12991,115.6,Russian Federation,46,500 m,2025112306
ESENGULY,3746,5396,-22,Turkmenistan,44,500 m,2025112306
ZILAIR,5223,5746,520.88,Russian Federation,45,500 m,2025112306
GROZNYJ,4325,4571,257.57,Russian Federation,45,500 m,2025112306
DUM IN MIRRIE AWS,-1263,13036,4.2,Australia,41,,2025112306
ORENBURG,5168,5506,117.51,Russian Federation,45,500 m,2025112306
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,200 m,2025112306
CAHUL,4590,2818,113,Republic of Moldova,45,200 m,2025112306
PROHLADNAYA,4375,4405,199.94,Russian Federation,43,500 m,2025112306
TAGANROG,4720,3890,32.03,Russian Federation,45,200 m,2025112306
UZHHOROD,4863,2225,124,Ukraine,45,800 m,2025112306
"EUGENE/MAHLON SWEET, OR.",4411,23679,114,United States of America,41,400 m,2025112306
VELIZH,5561,3118,166.1,Russian Federation,44,500 m,2025112306
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112306
LEPEL,5486,2870,174.2,Belarus,47,200 m,2025112306
SREDNIKAN,6245,15231,260,Russian Federation,41,1000 m,2025112306
MILLEROVO,4893,4038,155.07,Russian Federation,44,500 m,2025112306
CORNESTI,4735,2800,232,Republic of Moldova,45,200 m,2025112306
DIVNOE,4591,4335,86.41,Russian Federation,47,200 m,2025112306
BAGUIO,1640,12060,1501,Philippines,40,10 km,2025112306
VITEBSK,5525,3023,175.8,Belarus,49,600 m,2025112306
TOROPEC,5648,3163,187,Russian Federation,45,500 m,2025112306
