station,lat,lon,hp,country,thunderstorms,datetime
SEFWI BEKWAI,620,-29769,0,Ghana,95,2025112303
KOTA BHARU,616,10228,5,Malaysia,95,2025112303
VLORE,4046,1948,5,Albania,96,2025112303
KIMBERLEY,-2880,2476,1196,South Africa,95,2025112303
M.O. PONDICHERRY,1196,7981,38.3,India,96,2025112303
"TUCSON, AZ",3221,24905,747.4,United States of America,95,2025112303
HAT YAI AIRPORT,693,10038,34.93,Thailand,95,2025112303
COCHABAMBA,-1741,29382,2548,"Bolivia, Plurinational State of",95,2025112300
M.O. PONDICHERRY,1196,7981,38.3,India,95,2025112300
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112300
"CORPUS CHRISTI/INT., TX.",2776,26250,15.3,United States of America,95,2025112221
AXIM,486,-29759,0,Ghana,95,2025112221
ZORG EN HOOP,581,30482,7,Suriname,95,2025112218
IMPFONDO,161,1806,327,Congo,95,2025112218
RATMALANA,681,7988,5,Sri Lanka,95,2025112218
KUDAT,691,11683,5,Malaysia,95,2025112218
FLORIANOPOLIS (AERO),-2766,31145,5,Brazil,95,2025112218
MANGALORE/BAJPE,1291,7488,106,India,95,2025112218
PODGORICA-GOLUBOVCI,4236,1925,33,Montenegro,95,2025112218
TOAMASINA,-1811,4940,6,Madagascar,95,2025112218
UPINGTON,-2840,2125,835,South Africa,95,2025112218
POLOKWANE,-2385,2945,1226,South Africa,95,2025112215
TABARKA,3696,886,21,Tunisia,95,2025112215
SINGAPORE/CHANGI AIRPORT,136,10396,16,Singapore,95,2025112215
PRETORIA (IRENE),-2590,2820,1526,South Africa,95,2025112215
MAKOUA,-1,1565,380,Congo,95,2025112215
KINSHASA/N'DJILI,-438,1543,312,Democratic Republic of the Congo,95,2025112215
KOZHIKODE,1125,7578,5.03,India,95,2025112215
PUTTALAM,803,7983,2,Sri Lanka,95,2025112212
BIZERTE,3725,980,3,Tunisia,95,2025112212
PRATICA DI MARE,4165,1243,21.5,Italy,95,2025112212
KANDY,733,8063,477,Sri Lanka,95,2025112212
GRAZZANISE,4105,1406,10,Italy,95,2025112212
DJAMBALA,-253,1476,790,Congo,95,2025112212
TRINIDAD,-1481,29509,155,"Bolivia, Plurinational State of",95,2025112212
KURSK,5176,3616,247.25,Russian Federation,95,2025112212
PORT-GENTIL,-70,875,4,Gabon,95,2025112209
SHKODRA,4210,1953,43,Albania,99,2025112209
BORONGAN,1160,12543,3,Philippines,95,2025112209
HONIARA,-941,15996,0,Solomon Islands,95,2025112209
PORT MORESBY W.O.,-943,14720,48,Papua New Guinea,97,2025112209
JUANDA SURABAYA,-736,11276,3,Indonesia,96,2025112209
BIZERTE,3725,980,3,Tunisia,95,2025112209
TABOU,441,-30272,21,Côte d'Ivoire,95,2025112209
KUCHING,148,11033,27,Malaysia,95,2025112209
KOTA BHARU,616,10228,5,Malaysia,95,2025112209
KANNIYAKUMARI,808,7750,36.5,India,95,2025112209
M'POUYA,-261,1621,313,Congo,95,2025112209
ATIRAMAPATTINAM,1033,7938,4.47,India,95,2025112206
BRUNEI AIRPORT,493,11493,15,Brunei Darussalam,95,2025112206
TRUONG SA,865,11191,3,Viet Nam,95,2025112206
