station,lat,lon,hp,country,hvyrain
ENTEBBE AIRPORT,5,3245,1155,Uganda,460
KANNIYAKUMARI,808,7750,36.5,India,62
AKTION (AIRPORT),3891,2076,3.94,Greece,60.4
THIRUVANANTHAPURAM (43371-0),848,7695,64.3,India,50
RATMALANA,681,7988,5,Sri Lanka,52.5
SANDANSKI,4155,2326,207,Bulgaria,74.7
HUYEN TRAN,801,11061,19,Viet Nam,119
TABARKA,3696,886,21,Tunisia,72
HAT YAI AIRPORT,693,10038,34.93,Thailand,311.6
NARATHIWAT,641,10181,5.13,Thailand,216.6
TABORA AIRPORT,-508,3283,1190,"Tanzania, United Republic of",99
SONGKHLA,716,10060,6.56,Thailand,140.2
LHOKSEUMAWE/MALIKUSSALEH,521,9693,87,Indonesia,74
WARRUWI,-1165,13336,19.7,Australia,98
DOBBIACO,4671,1221,1226,Italy,176
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,141.9
TRANG,751,9961,15.82,Thailand,90.5
CASIGURAN,1625,12211,4,Philippines,104
KOTA BHARU,616,10228,5,Malaysia,169
KHO HONG AGROMET,700,10050,9.73,Thailand,296.2
CROKER ISLAND AIRPORT,-1115,13246,10.6,Australia,67
"WEATHER SERVICE OFFICE, CHUUK, ECI",745,15183,3.4,"Micronesia, Federated States of",85.9
KO LANTA,753,9905,7.11,Thailand,57.9
MONTE CIMONE,4418,1070,2173,Italy,141
SA DAO,678,10040,25.49,Thailand,166
PATTANI,678,10113,6.01,Thailand,215.9
YALA AGROMET,650,10126,36.04,Thailand,63.2
CAPO CARBONARA,3910,950,118,Italy,990
MIA PADANG,-78,10028,3,Indonesia,72
POINT STUART AWS,-1223,13186,1.5,Australia,203
