station,lat,lon,hp,country,hvyrain
DUM IN MIRRIE AWS,-1263,13036,4.2,Australia,169.4
LHOKSEUMAWE/MALIKUSSALEH,521,9693,87,Indonesia,68
KUALA TRENGGANU,538,10310,6,Malaysia,122
NARATHIWAT,641,10181,5.13,Thailand,624.2
SONGKHLA,716,10060,6.56,Thailand,50.3
HAT YAI AIRPORT,693,10038,34.93,Thailand,139.6
SITIAWAN,421,10070,8,Malaysia,51.6
DOBBIACO,4671,1221,1226,Italy,87.9
MANIHIKI AWS,-1043,19899,0,Cook Islands,54
BALIKPAPAN/SEPINGGAN,-125,11688,3,Indonesia,55
FALCONARA,4361,1335,15,Italy,53
MIDDLE POINT AWS,-1260,13128,15.4,Australia,430
MONTE CIMONE,4418,1070,2173,Italy,137
TAYABAS,1401,12158,158,Philippines,50.7
BATCHELOR AERO,-1305,13101,105,Australia,180.8
PATTANI,678,10113,6.01,Thailand,231.6
SA DAO,678,10040,25.49,Thailand,154.7
YALA AGROMET,650,10126,36.04,Thailand,188.1
DARWIN AIRPORT,-1241,13088,35,Australia,168.6
MIA PADANG,-78,10028,3,Indonesia,108
POINT STUART AWS,-1223,13186,1.5,Australia,138.2
CERVIA,4421,1228,10,Italy,51
CAPO CARBONARA,3910,950,118,Italy,957.3
RIMINI,4401,1260,13,Italy,57
BORONGAN,1160,12543,3,Philippines,72.6
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,77
SATUN,665,10006,5.95,Thailand,124
BENGKULU/PADANG KEMILING,-388,10233,16,Indonesia,51
VENTERSDORP,-2630,2680,1494,South Africa,73
KHO HONG AGROMET,700,10050,9.73,Thailand,140.6
KOTA BHARU,616,10228,5,Malaysia,485.6
SA DAO,678,10040,25.49,Thailand,126.9
PORT MORESBY W.O.,-943,14720,48,Papua New Guinea,201.9
IMPFONDO,161,1806,327,Congo,83
MONTE CIMONE,4418,1070,2173,Italy,77
CAPO CARBONARA,3910,950,118,Italy,1978
RIMINI,4401,1260,13,Italy,58
CERVIA,4421,1228,10,Italy,52
PEIXE,-1205,31147,250,Brazil,92
TRANG,751,9961,15.82,Thailand,65.7
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,131.7
VENTERSDORP,-2630,2680,1494,South Africa,73
KHO HONG AGROMET,700,10050,9.73,Thailand,154.8
TABARKA,3696,886,21,Tunisia,63
SANDANSKI,4155,2326,207,Bulgaria,53
FALEOLO AIRPORT,-1381,18800,5,Samoa,79
HAT YAI AIRPORT,693,10038,34.93,Thailand,188.6
SONGKHLA,716,10060,6.56,Thailand,83.9
MANIHIKI AWS,-1043,19899,0,Cook Islands,54
FALCONARA,4361,1335,15,Italy,52
VANUA BALAVU,-1723,18105,52,Fiji,75
YALA AGROMET,650,10126,36.04,Thailand,80.7
PEIXE,-1205,31147,250,Brazil,108
RIMINI,4401,1260,13,Italy,53
THIRUVANANTHAPURAM (43372-0),846,7695,5.2,India,50
PORT MORESBY W.O.,-943,14720,48,Papua New Guinea,94.9
PATTANI,678,10113,6.01,Thailand,187.4
SA DAO,678,10040,25.49,Thailand,133.1
PORTO NACIONAL,-1071,31142,239,Brazil,111
KHO HONG AGROMET,700,10050,9.73,Thailand,247.6
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,148
TONGULAH,6191,12455,199.08,Russian Federation,901.9
TRANG,751,9961,15.82,Thailand,86.4
SONGKHLA,716,10060,6.56,Thailand,102.5
NARATHIWAT,641,10181,5.13,Thailand,482
HAT YAI AIRPORT,693,10038,34.93,Thailand,255.8
FALEOLO AIRPORT,-1381,18800,5,Samoa,77
MARISCAL ESTIGARRIBIA,-2201,29939,167,Paraguay,58.4
TRUONG SA,865,11191,3,Viet Nam,58
TABARKA,3696,886,21,Tunisia,85
ULONGUE,-1473,3435,1311,Mozambique,55.9
HUYEN TRAN,801,11061,19,Viet Nam,115.8
VANUA BALAVU,-1723,18105,52,Fiji,68
THIRUVANANTHAPURAM (43371-0),848,7695,64.3,India,55
KANNIYAKUMARI,808,7750,36.5,India,73
