station,lat,lon,hp,country,hvyrain
BANDARAWELA,683,8098,1225,Sri Lanka,59.3
LEGASPI,1315,12371,17,Philippines,96
BORONGAN,1160,12543,3,Philippines,53.2
HAT YAI AIRPORT,693,10038,34.93,Thailand,197.6
SITIAWAN,421,10070,8,Malaysia,151
BATTICALOA,771,8170,8,Sri Lanka,74.2
KOTA BHARU,616,10228,5,Malaysia,55
KOTA KINABALU,593,11605,3,Malaysia,51.8
CASIGURAN,1625,12211,4,Philippines,105
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,56.7
SA DAO,678,10040,25.49,Thailand,218.4
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,62.3
HUYEN TRAN,801,11061,19,Viet Nam,64
SATUN,665,10006,5.95,Thailand,96.5
DAET,1411,12296,4,Philippines,117
NELSPRUIT,-2550,3090,883,South Africa,55
HUE,1643,10758,9,Viet Nam,76
INFANTA,1473,12166,7,Philippines,106
EWO,-50,1446,438,Congo,220
SONGKHLA,716,10060,6.56,Thailand,204.6
USTICA,3870,1316,243,Italy,261
PORT-GENTIL,-70,875,4,Gabon,64
YALA AGROMET,650,10126,36.04,Thailand,171.5
GRASKOP,-2493,3083,1436,South Africa,57
VIRAC,1356,12420,40,Philippines,78
VANUA BALAVU,-1723,18105,52,Fiji,108.4
KUDAT,691,11683,5,Malaysia,60
KUALA TRENGGANU,538,10310,6,Malaysia,122.4
LUPEPAU'U,-1858,18604,70,Tonga,94
CAPO CARBONARA,3910,950,118,Italy,119
PATTANI,678,10113,6.01,Thailand,124.7
LHOKSEUMAWE/MALIKUSSALEH,521,9693,87,Indonesia,64
MIA PADANG,-78,10028,3,Indonesia,93
TRANG,751,9961,15.82,Thailand,91.7
CAIA,-1783,3533,45,Mozambique,84
UDU POINT,-1613,18002,63,Fiji,69.9
NARATHIWAT,641,10181,5.13,Thailand,217
KO LANTA,753,9905,7.11,Thailand,66.7
HUYEN TRAN,801,11061,19,Viet Nam,66
MAASIN,1013,12485,72,Philippines,82
SATUN,665,10006,5.95,Thailand,148.9
CATARMAN,1250,12461,7,Philippines,61.4
DAET,1411,12296,4,Philippines,90.7
ROTUMA,-1250,17705,27,Fiji,62.6
PENGJIA YU,2563,12206,102,China,74.9
HUE,1643,10758,9,Viet Nam,70
DIPOLOG,860,12335,5,Philippines,62.1
BUTUAN,893,12546,46,Philippines,52
LEGASPI,1315,12371,17,Philippines,96.2
HAT YAI AIRPORT,693,10038,34.93,Thailand,262
TAYABAS,1401,12158,158,Philippines,50
SIBOLGA/PINANGSORI,155,9888,3,Indonesia,230
BORONGAN,1160,12543,3,Philippines,92
KOTA BHARU,616,10228,5,Malaysia,71.2
PISA S. GIUSTO,4366,1038,6.1,Italy,75
CASIGURAN,1625,12211,4,Philippines,82
MACTAN,1031,12398,24,Philippines,52.3
SITIAWAN,421,10070,8,Malaysia,150.6
SA DAO,678,10040,25.49,Thailand,271.5
KHO HONG AGROMET,700,10050,9.73,Thailand,286.3
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,122.5
MIA PADANG,-78,10028,3,Indonesia,109
PATTANI,678,10113,6.01,Thailand,217
