station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
DAVIS,-6856,7796,23.2,Stations operated by  Australia,48,25,40,NE,2025112509
MAWSON,-6760,6286,16,Stations operated by  Australia,42,22,100,E,2025112509
SHIP,4750,30030,,,37,19,360,N,2025112509
GOSAN,3328,12615,75.59,Republic of Korea,36,19,290,WNW,2025112509
JABALPUR,2320,7995,398,India,62,32,20,NNE,2025112509
APATITY,6755,3335,133.8,Russian Federation,60,31,360,N,2025112509
SHIP,2950,12310,,,35,18,350,N,2025112506
HENGCHUN,2200,12075,24,China,35,18,50,NE,2025112506
SHIP,1690,11380,,,68,35,30,NNE,2025112506
SHIP,5400,19860,,,37,19,170,S,2025112506
SHIP,3410,29950,,,39,20,340,NNW,2025112506
PROGRESS,-6936,7638,14.63,Antarctica,35,18,50,NE,2025112506
SHIP,3750,590,,,35,18,260,W,2025112506
GOSAN,3328,12615,75.59,Republic of Korea,38,20,320,NW,2025112506
SHIP,930,10270,,,35,18,50,NE,2025112506
PETROPAVLOVSK,5305,15878,65,Russian Federation,98,50,20,NNE,2025112506
SHIP,2200,11690,,,36,19,40,NE,2025112506
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,39,20,230,SW,2025112506
DAVIS,-6856,7796,23.2,Stations operated by  Australia,55,28,40,NE,2025112506
SHIP,4730,28950,,,36,19,200,SSW,2025112506
ZHONGSHAN,-6936,7636,18,Stations operated by China,68,35,70,ENE,2025112506
BHARATI,-6940,7618,35,Stations operated by India,44,23,50,NE,2025112506
TAMWORTH AIRPORT AWS,-3106,15083,395.9,Australia,37,19,220,SW,2025112506
MOURGASH,4283,2366,1692,Bulgaria,35,18,180,S,2025112506
MAWSON,-6760,6286,16,Stations operated by  Australia,44,23,100,E,2025112506
MIRNYJ (89592-0),-6655,9300,44.67,Antarctica,45,23,90,E,2025112506
DONGSHA DAO,2067,11672,6,China,37,19,40,NE,2025112506
SHIP,5060,130,,,37,19,330,NNW,2025112506
SHIP,1030,10890,,,35,18,30,NNE,2025112506
SHIP,2340,12280,,,36,19,40,NE,2025112506
SHIP,5140,200,,,35,18,10,N,2025112506
SHIP,2360,12300,,,35,18,20,NNE,2025112506
DUBASARI,4728,2913,40,Republic of Moldova,189,97,290,WNW,2025112503
WILSONS PROMONTORY LIGHTHOUSE,-3911,14641,97.2,Australia,38,20,270,W,2025112503
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,37,19,230,SW,2025112503
DAVIS,-6856,7796,23.2,Stations operated by  Australia,63,32,40,NE,2025112503
DONGSHA DAO,2067,11672,6,China,39,20,30,NNE,2025112503
