station,lat,lon,hp,country,fog,visibility,datetime
KOMSOMOL' SKIJ,4535,4603,-1.66,Russian Federation,45,500 m,2025112509
PEVEK,6970,17025,5.4,Russian Federation,49,500 m,2025112509
PRAHA/RUZYNE,5010,1425,365.34,Czech Republic,49,100 m,2025112509
CHOJNICE,5370,1751,171.9,Poland,49,900 m,2025112509
PRIMDA,4966,1266,747.38,Czech Republic,45,100 m,2025112509
ELBLAG-MILEJEWO,5421,1953,185.01,Poland,49,100 m,2025112509
KOPAONIK,4328,2080,1713,Serbia,45,below 100 m,2025112509
DOLORES AERO,-3631,30229,9,Argentina,42,700 m,2025112509
IKI-BURUL,4580,4463,112.99,Russian Federation,44,500 m,2025112509
BRUSSELS NATIONAL (AIRPORT),5088,451,54.9,Belgium,45,200 m,2025112509
ZIMOVNIKI,4715,4248,72.02,Russian Federation,42,500 m,2025112509
EZEIZA AERO,-3481,30147,20,Argentina,41,800 m,2025112509
TAN-TAN,2843,-30651,204,Morocco,44,500 m,2025112509
RESISTENCIA AERO,-2743,30097,52,Argentina,11,7 km,2025112509
CHARLEROI/GOSSELIES,5045,443,188.1,Belgium,44,400 m,2025112509
SAUCE VIEJO AERO,-3170,29920,18,Argentina,11,9 km,2025112509
TERRITORY GRAPE FARM,-2245,13363,567,Australia,41,,2025112509
ARAUCANIA,-3893,28735,0,Chile,43,700 m,2025112509
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,41,400 m,2025112509
ANTWERPEN/DEURNE,5118,445,13.21,Belgium,44,300 m,2025112509
LA PAZ/ALTO,-1651,29182,4038,"Bolivia, Plurinational State of",40,4000 m,2025112509
RONCHI DEI LEGIONARI,4581,1346,11,Italy,40,6 km,2025112509
LA PLATA AERO,-3495,30212,19,Argentina,42,400 m,2025112509
KOTEL'NIKOVO,4763,4315,46.94,Russian Federation,45,200 m,2025112509
IKI-BURUL,4580,4463,112.99,Russian Federation,45,200 m,2025112506
AKKOL',5198,7093,384,Kazakhstan,47,200 m,2025112506
KASTAMONU,4136,3376,800,Turkey,45,700 m,2025112506
NOONAMAH AIRSTRIP,-1260,13103,18.9,Australia,41,,2025112506
AKIM ODA,593,-29634,0,Ghana,46,100 m,2025112506
BALIKESIR,3961,2791,102,Turkey,48,300 m,2025112506
TAN-TAN,2843,-30651,204,Morocco,44,500 m,2025112506
TSIMLJANSK,4763,4211,65.51,Russian Federation,45,50 m,2025112506
CHILEKA,-1568,3496,767,Malawi,40,,2025112506
ZIMOVNIKI,4715,4248,72.02,Russian Federation,47,200 m,2025112506
EZEIZA AERO,-3481,30147,20,Argentina,11,8 km,2025112506
36498,4815,7863,,,46,500 m,2025112506
BACAU,4655,2688,175.2,Romania,46,400 m,2025112506
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,500 m,2025112506
SLIVEN *,4266,2633,0,Bulgaria,47,100 m,2025112506
ELBLAG-MILEJEWO,5421,1953,185.01,Poland,48,200 m,2025112506
PRIMDA,4966,1266,747.38,Czech Republic,45,100 m,2025112506
ESENBOGA,4011,3300,959,Turkey,46,100 m,2025112506
DOLORES AERO,-3631,30229,9,Argentina,11,200 m,2025112506
KOPAONIK,4328,2080,1713,Serbia,45,below 100 m,2025112506
PRAHA/RUZYNE,5010,1425,365.34,Czech Republic,49,400 m,2025112506
MARSABIT,233,3798,0,Kenya,43,500 m,2025112506
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025112506
MILANO MALPENSA,4561,871,212,Italy,41,6 km,2025112506
CHOJNICE,5370,1751,171.9,Poland,49,300 m,2025112506
MAGNITOGORSK,5335,5908,384.4,Russian Federation,47,500 m,2025112506
16779,3766,2633,,,41,,2025112506
KOMSOMOL' SKIJ,4535,4603,-1.66,Russian Federation,47,200 m,2025112506
BARSHINO,4968,6951,349,Kazakhstan,46,500 m,2025112506
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112506
KOTEL'NIKOVO,4763,4315,46.94,Russian Federation,45,50 m,2025112506
ARMAVIR,4498,4111,159.18,Russian Federation,45,200 m,2025112506
"DES MOINES/MUN., IA.",4153,26635,294,United States of America,41,400 m,2025112506
"JACKSONVILLE/INTNL.,  FL.",3048,27830,10.9,United States of America,41,800 m,2025112506
SLAUTNOE,6320,16785,44,Russian Federation,45,500 m,2025112506
JERVOIS,-2293,13613,329,Australia,41,,2025112506
SYR-DAR'JA,4081,6868,263,Uzbekistan,43,200 m,2025112506
ZHEZKAZGAN,4780,6771,346,Kazakhstan,49,500 m,2025112506
SARYG-SEP,5146,9556,705.8,Russian Federation,41,10 km,2025112506
BALKASINO,5251,6873,398,Kazakhstan,45,500 m,2025112506
BISER,5851,5885,463.54,Russian Federation,47,50 m,2025112506
PALMER STATION,-6476,29592,8,Stations operated by America,41,14 km,2025112506
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,41,800 m,2025112506
BURGAS,4250,2748,28,Bulgaria,45,200 m,2025112506
ASTANA,5116,7138,350,Kazakhstan,45,500 m,2025112506
YASHKUL',4618,4535,-6.71,Russian Federation,45,200 m,2025112506
VOLGOGRAD,4878,4436,134,Russian Federation,47,100 m,2025112506
ARAUCANIA,-3893,28735,0,Chile,45,500 m,2025112506
ZILAIR,5223,5746,520.88,Russian Federation,45,500 m,2025112503
HAKHA,2263,9358,0,Myanmar,47,600 m,2025112503
PRAHA/RUZYNE,5010,1425,365.34,Czech Republic,48,400 m,2025112503
CRNI VRH,4411,2195,1039,Serbia,45,50 m,2025112503
LUDHIANA,3086,7593,255,India,44,500 m,2025112503
MOROZOVSK,4835,4186,89.76,Russian Federation,45,500 m,2025112503
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112503
AKTION (AIRPORT),3891,2076,3.94,Greece,41,,2025112503
BARSHINO,4968,6951,349,Kazakhstan,46,500 m,2025112503
FURSATGANJ,2625,8136,116,India,42,500 m,2025112503
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,500 m,2025112503
TSIMLJANSK,4763,4211,65.51,Russian Federation,45,50 m,2025112503
ZIMOVNIKI,4715,4248,72.02,Russian Federation,44,500 m,2025112503
ELISTA,4630,4418,197.2,Russian Federation,45,200 m,2025112503
BACAU,4655,2688,175.2,Romania,46,500 m,2025112503
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112503
AGARTALA,2388,9125,38.5,India,45,200 m,2025112503
