station,lat,lon,hp,country,thunderstorms,datetime
BRJANSK,5325,3431,216.29,Russian Federation,95,2025112400
AMBON/PATTIMURA,-370,12808,12,Indonesia,95,2025112400
CAMPO GRANDE (AERO),-2046,30534,567,Brazil,95,2025112400
COCHABAMBA,-1741,29382,2548,"Bolivia, Plurinational State of",95,2025112321
MINICOY,830,7300,1.83,India,95,2025112321
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,95,2025112321
OREL,5293,3600,195.91,Russian Federation,95,2025112321
ADIAKE,530,-29866,39,Côte d'Ivoire,95,2025112321
BRUNEI AIRPORT,493,11493,15,Brunei Darussalam,95,2025112318
MINICOY,830,7300,1.83,India,95,2025112318
KUANTAN,378,10321,16,Malaysia,95,2025112318
TRINCOMALEE,863,8120,79,Sri Lanka,95,2025112318
BRASILIA (AERO),-1586,31207,1061,Brazil,95,2025112318
TOAMASINA,-1811,4940,6,Madagascar,95,2025112318
VILHENA (AERO),-1270,29990,612,Brazil,95,2025112318
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112318
DENIZLI,3775,2908,425,Turkey,95,2025112318
MOCUBA,-1683,3698,0,Mozambique,95,2025112315
MUGLA,3720,2836,646,Turkey,95,2025112315
PATTANI,678,10113,6.01,Thailand,97,2025112315
CUDDALORE,1176,7976,5.71,India,95,2025112315
CATBALOGAN,1178,12488,5,Philippines,95,2025112315
MANGALORE/BAJPE,1291,7488,106,India,95,2025112315
43353,995,7626,,,97,2025112315
JUANDA SURABAYA,-736,11276,3,Indonesia,97,2025112315
KOTA KINABALU,593,11605,3,Malaysia,95,2025112315
M.O. PONDICHERRY,1196,7981,38.3,India,96,2025112315
CILACAP,-773,10901,6,Indonesia,95,2025112315
YAMOUSSOUKRO,653,-30056,213,Côte d'Ivoire,95,2025112315
MADURAI (43360-0),983,7808,141,India,95,2025112312
KOZHIKODE,1125,7578,5.03,India,95,2025112312
KATUNAYAKE,716,7988,8,Sri Lanka,95,2025112312
MALACCA,226,10225,9,Malaysia,95,2025112312
KUANTAN,378,10321,16,Malaysia,95,2025112312
CILACAP,-773,10901,6,Indonesia,95,2025112312
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112312
SITIAWAN,421,10070,8,Malaysia,95,2025112312
SIBU,233,11183,31,Malaysia,95,2025112309
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112309
SITIAWAN,421,10070,8,Malaysia,95,2025112309
KIGOMA,-488,2966,885,"Tanzania, United Republic of",95,2025112309
CILACAP,-773,10901,6,Indonesia,95,2025112309
KUANTAN,378,10321,16,Malaysia,95,2025112309
BUTUAN,893,12546,46,Philippines,95,2025112306
PANGKAL PINANG,-216,10613,33,Indonesia,95,2025112306
KINSHASA/N'DJILI,-438,1543,312,Democratic Republic of the Congo,95,2025112306
KUCHING,148,11033,27,Malaysia,95,2025112306
HAT YAI AIRPORT,693,10038,34.93,Thailand,95,2025112303
M.O. PONDICHERRY,1196,7981,38.3,India,96,2025112303
"TUCSON, AZ",3221,24905,747.4,United States of America,95,2025112303
KOTA BHARU,616,10228,5,Malaysia,95,2025112303
SEFWI BEKWAI,620,-29769,0,Ghana,95,2025112303
KIMBERLEY,-2880,2476,1196,South Africa,95,2025112303
VLORE,4046,1948,5,Albania,96,2025112303
