station,lat,lon,hp,country,hvyrain
DURRES,4130,1945,12,Albania,51
TIRUCHCHIRAPALLI,1076,7871,94.2,India,58
MOUNT EDGECOMBE,-2970,3103,94,South Africa,98
"KAPINGAMARANGI ATOLL, CAROLINE IS.",108,15476,3,Islands,105.2
SA DAO,678,10040,25.49,Thailand,268.7
TONDI,973,7903,5.18,India,87
KOTA BHARU,616,10228,5,Malaysia,231.4
HAT YAI AIRPORT,693,10038,34.93,Thailand,143.8
YALA AGROMET,650,10126,36.04,Thailand,231.7
DOBBIACO,4671,1221,1226,Italy,87.9
PATTANI,678,10113,6.01,Thailand,338
FUNAFUTI (91643-0),-851,17921,2,Tuvalu,999
MADURAI (43360-0),983,7808,141,India,53
PORT KEATS AIRPORT,-1423,12951,29,Australia,106.4
FUA'AMOTU,-2123,18485,41,Tonga,88.2
CAPO CARBONARA,3910,950,118,Italy,999.8
QUY NHON,1376,10921,6,Viet Nam,77
SITIAWAN,421,10070,8,Malaysia,234.8
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,124.2
LUPEPAU'U,-1858,18604,70,Tonga,54
KHO HONG AGROMET,700,10050,9.73,Thailand,106.3
SATUN,665,10006,5.95,Thailand,220.5
CHUPING,648,10026,22,Malaysia,135
ALOR STAR,620,10040,5,Malaysia,52.4
MIA PADANG,-78,10028,3,Indonesia,117
TOKUA W.O.,-433,15236,13,Papua New Guinea,64
NARATHIWAT,641,10181,5.13,Thailand,299
MARGATE,-3085,3033,154,South Africa,50
ATIRAMAPATTINAM,1033,7938,4.47,India,52
JUANDA SURABAYA,-736,11276,3,Indonesia,79
SONGKHLA,716,10060,6.56,Thailand,79.8
HINATUAN,836,12633,3,Philippines,70.5
CILACAP,-773,10901,6,Indonesia,55
NAGAPPATTINAM,1076,7985,3.1,India,84
DUM IN MIRRIE AWS,-1263,13036,4.2,Australia,143.4
48863,1513,10878,,,53
SIBOLGA/PINANGSORI,155,9888,3,Indonesia,56
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,50
HAT YAI AIRPORT,693,10038,34.93,Thailand,125.8
SA DAO,678,10040,25.49,Thailand,299.2
"WEATHER SERVICE OFFICE, YAP, CAROLINE IS.",948,13806,28,"Micronesia, Federated States of",50.3
FUA'AMOTU,-2123,18485,41,Tonga,88.5
CAPO CARBONARA,3910,950,118,Italy,358
QUY NHON,1376,10921,6,Viet Nam,64
M.O. PONDICHERRY,1196,7981,38.3,India,61
PODGORICA-GOLUBOVCI,4236,1925,33,Montenegro,54
"CORPUS CHRISTI/INT., TX.",2776,26250,15.3,United States of America,72.5
SONGKHLA,716,10060,6.56,Thailand,53.2
48863,1513,10878,,,50
"SQUAMISH AIRPORT, BC",4976,23685,53.7,Canada,50.6
LUPEPAU'U,-1858,18604,70,Tonga,53
KHO HONG AGROMET,700,10050,9.73,Thailand,86.8
BATTICALOA,771,8170,8,Sri Lanka,50.9
SATUN,665,10006,5.95,Thailand,312.7
"SQUAMISH AIRPORT, BC",4976,23685,53.7,Canada,68
MANIHIKI AWS,-1043,19899,0,Cook Islands,54.2
SATUN,665,10006,5.95,Thailand,250.4
KHO HONG AGROMET,700,10050,9.73,Thailand,58.9
PARANGIPETTAI,1150,7976,2.88,India,60
NARATHIWAT,641,10181,5.13,Thailand,377.6
PATTANI,678,10113,6.01,Thailand,232.4
"WEATHER SERVICE OFFICE, YAP, CAROLINE IS.",948,13806,28,"Micronesia, Federated States of",64.5
SA DAO,678,10040,25.49,Thailand,272.1
HAT YAI AIRPORT,693,10038,34.93,Thailand,78.8
YALA AGROMET,650,10126,36.04,Thailand,238.7
M.O. PONDICHERRY,1196,7981,38.3,India,56
DURRES,4130,1945,12,Albania,50
"KAPINGAMARANGI ATOLL, CAROLINE IS.",108,15476,3,Islands,53.6
PALAYANKOTTAI,873,7775,50.9,India,605.9
PODGORICA-GOLUBOVCI,4236,1925,33,Montenegro,65
PUTTALAM,803,7983,2,Sri Lanka,50.9
IMPFONDO,161,1806,327,Congo,83
"SQUAMISH AIRPORT, BC",4976,23685,53.7,Canada,70.6
BATCHELOR AERO,-1305,13101,105,Australia,182
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,55.4
DUM IN MIRRIE AWS,-1263,13036,4.2,Australia,273
KUALA TRENGGANU,538,10310,6,Malaysia,119
MIA PADANG,-78,10028,3,Indonesia,123
NARATHIWAT,641,10181,5.13,Thailand,553.6
MVENGUE,-165,1343,0,Gabon,50
KHO HONG AGROMET,700,10050,9.73,Thailand,72.1
BALIKPAPAN/SEPINGGAN,-125,11688,3,Indonesia,55
MIDDLE POINT AWS,-1260,13128,15.4,Australia,415
SATUN,665,10006,5.95,Thailand,206.5
LHOKSEUMAWE/MALIKUSSALEH,521,9693,87,Indonesia,64
M.O. PONDICHERRY,1196,7981,38.3,India,61
CAPO CARBONARA,3910,950,118,Italy,1337
"PORT MELLON, BC",4951,23652,0,Canada,50.5
YALA AGROMET,650,10126,36.04,Thailand,243.9
HAT YAI AIRPORT,693,10038,34.93,Thailand,78.6
KOTA BHARU,616,10228,5,Malaysia,593
"WEATHER SERVICE OFFICE, YAP, CAROLINE IS.",948,13806,28,"Micronesia, Federated States of",64
SA DAO,678,10040,25.49,Thailand,229.8
VENTERSDORP,-2630,2680,1494,South Africa,73
PATTANI,678,10113,6.01,Thailand,225.8
DARWIN AIRPORT,-1241,13088,35,Australia,141
INFANTA,1473,12166,7,Philippines,66
VAVUNIYA,875,8050,98,Sri Lanka,87.5
