station,lat,lon,hp,country,thunderstorms,datetime
"DALLAS-FORT WORTH/FORT WORTH REG.AIRPORT, TX.",3290,26297,182,United States of America,95,2025112412
RATNAPURA,668,8040,86,Sri Lanka,95,2025112412
BVUMBWE,-1591,3506,1146,Malawi,95,2025112412
NYERI,-43,3696,0,Kenya,95,2025112412
MZIMBA,-1188,3361,1351,Malawi,95,2025112412
KUCHING,148,11033,27,Malaysia,95,2025112409
KOTA KINABALU,593,11605,3,Malaysia,95,2025112406
TAWAU,426,11788,20,Malaysia,95,2025112406
BRISBANE AERO,-2738,15311,9.5,Australia,95,2025112406
DIPOLOG,860,12335,5,Philippines,95,2025112406
PANGKALAN BUN/ISKANDAR,-270,11170,25,Indonesia,95,2025112406
PORTO VELHO (AERO),-876,29609,102,Brazil,95,2025112403
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,97,2025112403
BELIZE/PHILLIP GOLDSTON INTL. AIRPORT,1753,27170,5,Belize,95,2025112403
ANTALYA,3686,3073,64,Turkey,95,2025112403
CAMPO GRANDE (AERO),-2046,30534,567,Brazil,95,2025112400
AMBON/PATTIMURA,-370,12808,12,Indonesia,95,2025112400
BRJANSK,5325,3431,216.29,Russian Federation,95,2025112400
COCHABAMBA,-1741,29382,2548,"Bolivia, Plurinational State of",95,2025112321
MINICOY,830,7300,1.83,India,95,2025112321
ADIAKE,530,-29866,39,Côte d'Ivoire,95,2025112321
OREL,5293,3600,195.91,Russian Federation,95,2025112321
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,95,2025112321
KUANTAN,378,10321,16,Malaysia,95,2025112318
MINICOY,830,7300,1.83,India,95,2025112318
TRINCOMALEE,863,8120,79,Sri Lanka,95,2025112318
DENIZLI,3775,2908,425,Turkey,95,2025112318
VILHENA (AERO),-1270,29990,612,Brazil,95,2025112318
TOAMASINA,-1811,4940,6,Madagascar,95,2025112318
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112318
BRUNEI AIRPORT,493,11493,15,Brunei Darussalam,95,2025112318
BRASILIA (AERO),-1586,31207,1061,Brazil,95,2025112318
MOCUBA,-1683,3698,0,Mozambique,95,2025112315
JUANDA SURABAYA,-736,11276,3,Indonesia,97,2025112315
YAMOUSSOUKRO,653,-30056,213,Côte d'Ivoire,95,2025112315
CATBALOGAN,1178,12488,5,Philippines,95,2025112315
43353,995,7626,,,97,2025112315
KOTA KINABALU,593,11605,3,Malaysia,95,2025112315
MANGALORE/BAJPE,1291,7488,106,India,95,2025112315
PATTANI,678,10113,6.01,Thailand,97,2025112315
CILACAP,-773,10901,6,Indonesia,95,2025112315
M.O. PONDICHERRY,1196,7981,38.3,India,96,2025112315
MUGLA,3720,2836,646,Turkey,95,2025112315
CUDDALORE,1176,7976,5.71,India,95,2025112315
