station,lat,lon,hp,country,fog,visibility,datetime
"COLUMBIA/REGIONAL,  MO.",3881,26779,274,United States of America,41,800 m,2025112400
PURNEA,2526,8746,37.8,India,40,500 m,2025112400
LASHIO,2293,9775,749,Myanmar,47,100 m,2025112400
CHAING RAI AGROMET,1986,9976,401.05,Thailand,47,100 m,2025112400
"OTTAWA MACDONALD-CARTIER INT'L A, ONT",4531,28434,114,Canada,43,800 m,2025112400
16768,3716,2680,,,41,,2025112400
VARANASI/BABATPUR,2543,8285,89,India,12,200 m,2025112400
JIANGCHENG,2260,10185,1121,China,B46,200 m,2025112400
LAMPANG,1826,9950,243.83,Thailand,44,200 m,2025112400
KHUDJANT,4021,6973,427,Tajikistan,43,900 m,2025112400
YINGKOU,4067,12217,5,China,B46,below 100 m,2025112400
LIPETSK,5270,3951,177.2,Russian Federation,47,600 m,2025112400
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,200 m,2025112400
MAWLAIK,2363,9441,116,Myanmar,42,800 m,2025112400
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112400
TSIMLJANSK,4763,4211,65.51,Russian Federation,47,500 m,2025112400
BHAIRAWA AIRPORT,2751,8345,109,Nepal,40,800 m,2025112400
RYONGYON,3815,12488,6,Democratic People's Republic of Korea,45,300 m,2025112400
BOGUCAR,4993,4056,83.57,Russian Federation,45,500 m,2025112400
KAZANSKAJA,4980,4115,71.51,Russian Federation,45,500 m,2025112400
EFREMOV,5315,3811,214.7,Russian Federation,47,200 m,2025112400
ZAGREB/PLESO,4571,1605,108.8,Croatia,11,15 km,2025112321
IVANO-FRANKIVS'K,4888,2468,280,Ukraine,44,900 m,2025112321
SYR-DAR'JA,4081,6868,263,Uzbekistan,47,50 m,2025112321
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112321
VORONEZ,5170,3921,148.9,Russian Federation,45,500 m,2025112321
GAYA (42591-0),2475,8495,116,India,42,500 m,2025112321
CAO BANG,2266,10625,243,Viet Nam,45,500 m,2025112321
BLAGODARNYJ,4510,4345,162.5,Russian Federation,45,500 m,2025112321
JI'AN,4115,12622,225.5,China,B45,200 m,2025112321
CEAHLAU TOACA,4696,2595,1898.3,Romania,49,50 m,2025112321
SHARDARA,4123,6796,275,Kazakhstan,47,200 m,2025112321
DANDONG,4005,12433,14,China,B46,below 100 m,2025112321
BAENGNYEONGDO,3796,12470,146.21,Republic of Korea,45,300 m,2025112321
SLAVONSKI BROD,4515,1798,89.29,Croatia,47,100 m,2025112321
ORUMIEH,3765,4505,1328,"Iran, Islamic Republic of",44,900 m,2025112321
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025112321
YASHKUL',4618,4535,-6.71,Russian Federation,45,200 m,2025112321
VOLGOGRAD,4878,4436,134,Russian Federation,47,100 m,2025112321
VILJUJSK,6378,12161,110.89,Russian Federation,12,20 km,2025112321
EGVEKINOT,6635,18089,25.84,Russian Federation,45,500 m,2025112321
SINUIJU,4010,12438,7,Democratic People's Republic of Korea,43,700 m,2025112321
KONSTANTINOVSK,4758,4110,62.04,Russian Federation,45,200 m,2025112321
PROHLADNAYA,4375,4405,199.94,Russian Federation,47,500 m,2025112321
"NORTH BAY A, ONT",4635,28059,370.3,Canada,41,16 km,2025112321
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,500 m,2025112321
"ANCHORAGE/INT., AK",6115,21002,43.8,United States of America,41,800 m,2025112321
JIANGCHENG,2260,10185,1121,China,B45,below 100 m,2025112321
VARANASI/BABATPUR,2543,8285,89,India,12,500 m,2025112321
PHRAE,1811,10015,162.8,Thailand,46,800 m,2025112321
TORUN,5303,1858,72.09,Poland,49,100 m,2025112321
JINGZHOU,3035,11215,37,China,B45,200 m,2025112321
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,200 m,2025112321
LIPETSK,5270,3951,177.2,Russian Federation,47,700 m,2025112321
YINGKOU,4067,12217,5,China,B46,below 100 m,2025112321
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112321
KAZANSKAJA,4980,4115,71.51,Russian Federation,45,500 m,2025112321
