sysid,name,id,intensity,start,latest,same,centerid,gts
2025204,Fina,02U,severe tropical cyclone,2025-11-18 00:00:00,2025-11-24 12:00:00,,9,
2025206,,,TD,2025-11-24 00:00:00,2025-11-24 12:00:00,,5,WTPQ50RJTD.20251124.5
