station,lat,lon,hp,country,thunderstorms,datetime
BRISBANE AERO,-2738,15311,9.5,Australia,95,2025112406
TAWAU,426,11788,20,Malaysia,95,2025112406
KOTA KINABALU,593,11605,3,Malaysia,95,2025112406
PANGKALAN BUN/ISKANDAR,-270,11170,25,Indonesia,95,2025112406
ANTALYA,3686,3073,64,Turkey,95,2025112403
PORTO VELHO (AERO),-876,29609,102,Brazil,95,2025112403
BELIZE/PHILLIP GOLDSTON INTL. AIRPORT,1753,27170,5,Belize,95,2025112403
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,97,2025112403
AMBON/PATTIMURA,-370,12808,12,Indonesia,95,2025112400
BRJANSK,5325,3431,216.29,Russian Federation,95,2025112400
CAMPO GRANDE (AERO),-2046,30534,567,Brazil,95,2025112400
OREL,5293,3600,195.91,Russian Federation,95,2025112321
ADIAKE,530,-29866,39,Côte d'Ivoire,95,2025112321
COCHABAMBA,-1741,29382,2548,"Bolivia, Plurinational State of",95,2025112321
MINICOY,830,7300,1.83,India,95,2025112321
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,95,2025112321
TOAMASINA,-1811,4940,6,Madagascar,95,2025112318
BRUNEI AIRPORT,493,11493,15,Brunei Darussalam,95,2025112318
DENIZLI,3775,2908,425,Turkey,95,2025112318
MINICOY,830,7300,1.83,India,95,2025112318
KUANTAN,378,10321,16,Malaysia,95,2025112318
TRINCOMALEE,863,8120,79,Sri Lanka,95,2025112318
BRASILIA (AERO),-1586,31207,1061,Brazil,95,2025112318
VILHENA (AERO),-1270,29990,612,Brazil,95,2025112318
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112318
M.O. PONDICHERRY,1196,7981,38.3,India,96,2025112315
CATBALOGAN,1178,12488,5,Philippines,95,2025112315
MANGALORE/BAJPE,1291,7488,106,India,95,2025112315
YAMOUSSOUKRO,653,-30056,213,Côte d'Ivoire,95,2025112315
CUDDALORE,1176,7976,5.71,India,95,2025112315
CILACAP,-773,10901,6,Indonesia,95,2025112315
MOCUBA,-1683,3698,0,Mozambique,95,2025112315
43353,995,7626,,,97,2025112315
PATTANI,678,10113,6.01,Thailand,97,2025112315
KOTA KINABALU,593,11605,3,Malaysia,95,2025112315
MUGLA,3720,2836,646,Turkey,95,2025112315
JUANDA SURABAYA,-736,11276,3,Indonesia,97,2025112315
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112312
CILACAP,-773,10901,6,Indonesia,95,2025112312
KATUNAYAKE,716,7988,8,Sri Lanka,95,2025112312
KOZHIKODE,1125,7578,5.03,India,95,2025112312
MADURAI (43360-0),983,7808,141,India,95,2025112312
KUANTAN,378,10321,16,Malaysia,95,2025112312
MALACCA,226,10225,9,Malaysia,95,2025112312
SITIAWAN,421,10070,8,Malaysia,95,2025112312
KUANTAN,378,10321,16,Malaysia,95,2025112309
CILACAP,-773,10901,6,Indonesia,95,2025112309
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112309
SITIAWAN,421,10070,8,Malaysia,95,2025112309
SIBU,233,11183,31,Malaysia,95,2025112309
KIGOMA,-488,2966,885,"Tanzania, United Republic of",95,2025112309
